District,RegVoters,AMURIAT OBOI PATRICK,KABULETA KIIZA JOSEPH,KALEMBE NANCY LINDA,KATUMBA JOHN,KYAGULANYI SSENTAMU ROBERT,MAO NORBERT,MAYAMBALA WILLY,MUGISHA MUNTU GREGG,MWESIGYE FRED,TUMUKUNDE HENRY KAKURUGU,YOWERI MUSEVENI  KAGUTA,Valid Votes,InvalidVotes,Total Votes,Received Station,DintVote,Percentage,color
123 BUGWERI,84953,563,294,298,94,25939,79,29,153,47,122,17428,45046,2018,47064,"154/
154",37889,44.60, #ff0121
124 KAPELEBYONG,39629,6121,174,141,38,1387,68,37,77,85,119,17529,25776,1652,27428,"126/
126",12201,30.79, #ff0122
125 KASSANDA,134798,183,77,78,133,44990,142,23,178,112,193,37265,83374,3490,86864,"300/
300",47934,35.56, #ff0123
126 KIKUUBE,112825,360,2210,133,124,10771,72,22,271,115,272,49490,63840,3246,67086,"204/
204",45739,40.54, #ff0124
127 KWANIA,87587,992,393,319,238,13041,318,148,368,322,679,36364,53182,2820,56002,"160/
160",31585,36.06, #ff0125
128 NABILATUK,21367,15,3,3,3,272,7,6,2,8,38,16038,16395,536,16931,"58/
58",4436,20.76, #ff0126
129 KALAKI,53973,4794,195,193,81,3839,136,287,121,73,140,24556,34415,1563,35978,"103/
103",17995,33.34, #ff0127
130 KARENGA,18035,107,75,37,32,751,49,54,30,25,178,12819,14157,673,14830,"53/
53",3205,17.77, #ff0128
131 KAZO,92843,157,24,20,53,879,13,2,231,20,61,73043,74503,1078,75581,"206/
206",17262,18.59, #ff0129
132 KITAGWENDA,76037,459,67,178,113,4488,54,19,617,87,171,40417,46670,1191,47861,"168/
168",28176,37.06, #ff0130
133 MADI OKOLLO,63404,722,384,348,273,7611,241,116,534,178,898,25779,37084,2414,39498,"121/
121",23906,37.70, #ff0131
134 OBONGI,19321,1102,121,39,37,2769,56,7,53,53,86,7676,11999,884,12883,"44/
44",6438,33.32, #ff0132
135 RWAMPARA,70346,679,50,84,215,3710,37,17,539,39,102,35981,41453,747,42200,"157/
157",28146,40.01, #ff0133
136 ARUA CITY,170066,1107,705,522,348,28493,772,151,563,233,863,39566,73323,4645,77968,"289/
289",92098,54.15, #ff0134
137 GULU CITY,103401,2159,209,231,163,7290,7811,47,163,139,149,14603,32964,1952,34916,"188/
188",68485,66.23, #ff0135
138 JINJA CITY,154750,1512,133,694,221,43920,173,36,276,43,85,21202,68295,2750,71045,"256/
259",83705,54.09, #ff0136
139 FORT PORTAL CITY,65163,443,208,156,316,8440,45,15,828,52,96,25753,36352,1424,37776,"122/
122",27387,42.03, #ff0137
140 MBARARA CITY,114511,1428,116,114,513,12662,65,34,1581,53,386,36466,53418,1656,55074,"195/
195",59437,51.91, #ff0138
141 MASAKA CITY,122339,212,25,43,131,53444,204,10,105,36,46,14992,69248,1543,70791,"188/
188",51548,42.14, #ff0139
142 MBALE CITY,147774,2037,117,249,239,42267,173,48,147,193,182,29717,75369,3128,78497,"276/
276",69277,46.88, #ff0140
143 TEREGO,95118,1344,580,484,965,16720,705,243,1329,458,814,24718,48360,4497,52857,"170/
170",42261,44.43, #ff0141
144 LIRA CITY,111772,1523,453,496,326,17495,578,108,359,219,386,30271,52214,2140,54354,"183/
183",57418,51.37, #ff0142
145 HOIMA CITY,62018,292,2285,69,109,11662,51,14,261,32,83,19751,34609,1450,36059,"112/
112",25959,41.86, #ff0143
146 SOROTI CITY,56019,13200,158,123,79,3984,95,94,115,44,452,12031,30375,1252,31627,"99/
99",24392,43.54, #ff0144
